"BU_DESC__c","BU_ID__c","Code_Indexing__c","COUNTRY_ID__c","COUNTRY__c","GM_DESC__c","GM_ID__c","Id","MARKET_DESC__c","MARKET_ID__c","Name","OwnerId","Product_Id__c","Product_Name__c","RHMS_Vertical_Id__c","SBU1_DESC__c","SBU1_ID__c","SBU2_DESC__c","SBU2_ID__c","STATE_ID__c","SUBVERTICAL_DESC__c","SUBVERTICAL_ID__c","VERTICAL_DESC__c","VERTICAL_ID__c"
"","","PHL||AN","PHL","Philippines","","","a0h0q000004KjP9AAK","","","Antique","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","SWE||AN","SWE","Sweden","","","a0h0q000004KjPAAA0","","","Angermanland","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","TUR||AN","TUR","Turkey","","","a0h0q000004KjPBAA0","","","Ankara","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","UZB||AN","UZB","Uzbekistan","","","a0h0q000004KjPCAA0","","","Andizhan","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","VEN||AN","VEN","Venezuela","","","a0h0q000004KjPDAA0","","","Anzoategui","0050q0000036HRvAAM","","","","","","","","AN","","","",""
"","","CHN||AO","CHN","China","","","a0h0q000004KjPEAA0","","","Aomen","0050q0000036HRvAAM","","","","","","","","AO","","","",""
"","","ITA||AO","ITA","Italy","","","a0h0q000004KjPFAA0","","","Aosta","0050q0000036HRvAAM","","","","","","","","AO","","","",""
"","","JPN||AO","JPN","Japan","","","a0h0q000004KjPGAA0","","","Aomori-Ken","0050q0000036HRvAAM","","","","","","","","AO","","","",""
"","","NLD||AO","NLD","Netherlands","","","a0h0q000004KjPHAA0","","","Almelo","0050q0000036HRvAAM","","","","","","","","AO","","","",""
"","","BRA||AP","BRA","Brazil","","","a0h0q000004KjPIAA0","","","Amapa","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","CHL||AP","CHL","Chile","","","a0h0q000004KjPJAA0","","","Arica and Parinacota","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","DZA||AP","DZA","Algeria","","","a0h0q000004KjPKAA0","","","Algiers Province","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","FRA||AP","FRA","France","","","a0h0q000004KjPLAA0","","","Alpes de Haute Provence","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","IND||AP","IND","India","","","a0h0q000004KjPMAA0","","","Andhra Pradesh","0050q0000036HRvAAM","","","","","","","","AP","","","",""
