BU_DESC__c,BU_ID__c,Code_Indexing__c,COUNTRY_ID__c,COUNTRY__c,GM_DESC__c,GM_ID__c,MARKET_DESC__c,MARKET_ID__c,Name,Product_Id__c,Product_Name__c,RHMS_Vertical_Id__c,SBU1_DESC__c,SBU1_ID__c,SBU2_DESC__c,SBU2_ID__c,STATE_ID__c,SUBVERTICAL_DESC__c,SUBVERTICAL_ID__c,VERTICAL_DESC__c,VERTICAL_ID__c
CommsMedia-UK,105,10||105||350||920,,,UK,10,,,UK|CommsMedia-UK|PEARSON-UK|HIGHER EDUCATION,,,,PEARSON-UK,350,HIGHER EDUCATION,920,,,,,
CommsMedia-UK,105,10||105||373||565,,,UK,10,,,UK|CommsMedia-UK|D&B-UK|IS-EDU,,,,D&B-UK,373,IS-EDU,565,,,,,
CommsMedia-UK,105,10||105||373||595,,,UK,10,,,UK|CommsMedia-UK|D&B-UK|D&B.,,,,D&B-UK,373,D&B.,595,,,,,
CommsMedia-UK,105,10||105||374||566,,,UK,10,,,UK|CommsMedia-UK|RE GROUP-UK|IS-EDU,,,,RE GROUP-UK,374,IS-EDU,566,,,,,
CommsMedia-UK,105,10||105||374||597,,,UK,10,,,UK|CommsMedia-UK|RE GROUP-UK|RE GROUP.,,,,RE GROUP-UK,374,RE GROUP.,597,,,,,
CommsMedia-UK,105,10||105||413||758,,,UK,10,,,UK|CommsMedia-UK|UK|Publishing & Advertising,,,,UK,413,Publishing & Advertising,758,,,,,
CommsMedia-UK,105,10||105||413||759,,,UK,10,,,UK|CommsMedia-UK|UK|UK Global Accounts & Education,,,,UK,413,UK Global Accounts & Education,759,,,,,
CommsMedia-UK,105,10||105||413||760,,,UK,10,,,UK|CommsMedia-UK|UK|UK IME,,,,UK,413,UK IME,760,,,,,
CommsMedia-UK,105,10||105||413||761,,,UK,10,,,UK|CommsMedia-UK|UK|Broadcasting & Information Services,,,,UK,413,Broadcasting & Information Services,761,,,,,
CommsMedia-UK,105,10||105||413||919,,,UK,10,,,UK|CommsMedia-UK|UK|HIGHER EDUCATION,,,,UK,413,HIGHER EDUCATION,919,,,,,
CommsMedia-UK,105,10||105||93||463,,,UK,10,,,UK|CommsMedia-UK|Broadcasting & Information Services|GLOBAL ACCOUNTS.,,,,Broadcasting & Information Services,93,GLOBAL ACCOUNTS.,463,,,,,
CommsMedia-UK,105,10||105||93||541,,,UK,10,,,UK|CommsMedia-UK|Broadcasting & Information Services|M & E.,,,,Broadcasting & Information Services,93,M & E.,541,,,,,
CommsMedia-UK,105,10||105||93||542,,,UK,10,,,UK|CommsMedia-UK|Broadcasting & Information Services|IS-EDU.,,,,Broadcasting & Information Services,93,IS-EDU.,542,,,,,
CommsMedia-UK,105,10||105||93||543,,,UK,10,,,UK|CommsMedia-UK|Broadcasting & Information Services|UK Local,,,,Broadcasting & Information Services,93,UK Local,543,,,,,
CommsMedia-UK,105,10||105||93||594,,,UK,10,,,UK|CommsMedia-UK|Broadcasting & Information Services|Home Accounts,,,,Broadcasting & Information Services,93,Home Accounts,594,,,,,
RCG-UK,107,10||107||170||203,,,UK,10,,,UK|RCG-UK|RCG UK|RCG - UK..,,,,RCG UK,170,RCG - UK..,203,,,,,
RCG-UK,107,10||107||171||177,,,UK,10,,,UK|RCG-UK|T&H UK|T&H - UK.,,,,T&H UK,171,T&H - UK.,177,,,,,
RCG-UK,107,10||107||171||366,,,UK,10,,,UK|RCG-UK|T&H UK|RENTOKIL - UK,,,,T&H UK,171,RENTOKIL - UK,366,,,,,
Healthcare-UK,131,10||131||323||623,,,UK,10,,,UK|Healthcare-UK|East CBU - UK|MidWest & International UK,,,,East CBU - UK,323,MidWest & International UK,623,,,,,
Healthcare-UK,131,10||131||415||764,,,UK,10,,,UK|Healthcare-UK|Midwest ï¿½ UK|Central Midwest ï¿½ UK,,,,Midwest – UK,415,Central Midwest – UK,764,,,,,
T&H-UK,153,10||153||443||895,,,UK,10,,,UK|T&H-UK|T&H UK|Travel Provider,,,,T&H UK,443,Travel Provider,895,,,,,
T&H-UK,153,10||153||443||896,,,UK,10,,,UK|T&H-UK|T&H UK|Travel Intermediary,,,,T&H UK,443,Travel Intermediary,896,,,,,
T&H-UK,153,10||153||443||897,,,UK,10,,,UK|T&H-UK|T&H UK|Hospitality,,,,T&H UK,443,Hospitality,897,,,,,
T&H-UK,153,10||153||443||898,,,UK,10,,,UK|T&H-UK|T&H UK|Real Estate,,,,T&H UK,443,Real Estate,898,,,,,
T&H-UK,153,10||153||443||899,,,UK,10,,,UK|T&H-UK|T&H UK|Restaurant & Food Services,,,,T&H UK,443,Restaurant & Food Services,899,,,,,
BFS-UK,89,10||89||148||228,,,UK,10,,,UK|BFS-UK|UBS - UK|UBS - UK - UK,,,,UBS - UK,148,UBS - UK - UK,228,,,,,
BFS-UK,89,10||89||148||462,,,UK,10,,,UK|BFS-UK|UBS - UK|PMC - UK,,,,UBS - UK,148,PMC - UK,462,,,,,
BFS-UK,89,10||89||162||460,,,UK,10,,,UK|BFS-UK|BFS-LBG|PMC - UK,,,,BFS-LBG,162,PMC - UK,460,,,,,
BFS-UK,89,10||89||162||472,,,UK,10,,,UK|BFS-UK|BFS-LBG|BFS - LBG,,,,BFS-LBG,162,BFS - LBG,472,,,,,
BFS-UK,89,10||89||163||224,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|BFS UK1,,,,BFS OTHERS UK,163,BFS UK1,224,,,,,
BFS-UK,89,10||89||163||225,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|CS-UK,,,,BFS OTHERS UK,163,CS-UK,225,,,,,
BFS-UK,89,10||89||163||402,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|AMERICAN EXPRESS UK.,,,,BFS OTHERS UK,163,AMERICAN EXPRESS UK.,402,,,,,
BFS-UK,89,10||89||163||423,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|Government-UK,,,,BFS OTHERS UK,163,Government-UK,423,,,,,
BFS-UK,89,10||89||163||459,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|PMC - UK,,,,BFS OTHERS UK,163,PMC - UK,459,,,,,
BFS-UK,89,10||89||163||580,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|FICO (UK),,,,BFS OTHERS UK,163,FICO (UK),580,,,,,
BFS-UK,89,10||89||163||665,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|BNYM - UK,,,,BFS OTHERS UK,163,BNYM - UK,665,,,,,
BFS-UK,89,10||89||163||666,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|ComputerShare - UK,,,,BFS OTHERS UK,163,ComputerShare - UK,666,,,,,
BFS-UK,89,10||89||163||707,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|Canada.,,,,BFS OTHERS UK,163,Canada.,707,,,,,
BFS-UK,89,10||89||163||929,,,UK,10,,,UK|BFS-UK|BFS OTHERS UK|ROW,,,,BFS OTHERS UK,163,ROW,929,,,,,
BFS-UK,89,10||89||94||371,,,UK,10,,,UK|BFS-UK|JPMC - UK|JPMC - UK.,,,,JPMC - UK,94,JPMC - UK.,371,,,,,
BFS-UK,89,10||89||94||461,,,UK,10,,,UK|BFS-UK|JPMC - UK|PMC - UK,,,,JPMC - UK,94,PMC - UK,461,,,,,
Life Sciences-UK,95,10||95||166||1107,,,UK,10,,,UK|Life Sciences-UK|UK-SBU5-PHARMA-GAGAN|OTHER TAIL ACCOUNTS,,,,UK-SBU5-PHARMA-GAGAN,166,OTHER TAIL ACCOUNTS,1107,,,,,
Life Sciences-UK,95,10||95||166||1108,,,UK,10,,,UK|Life Sciences-UK|UK-SBU5-PHARMA-GAGAN|SBU-Sachin,,,,UK-SBU5-PHARMA-GAGAN,166,SBU-Sachin,1108,,,,,
Life Sciences-UK,95,10||95||166||1109,,,UK,10,,,UK|Life Sciences-UK|UK-SBU5-PHARMA-GAGAN|SBU - Others,,,,UK-SBU5-PHARMA-GAGAN,166,SBU - Others,1109,,,,,
Life Sciences-UK,95,10||95||166||1110,,,UK,10,,,UK|Life Sciences-UK|UK-SBU5-PHARMA-GAGAN|SBU-Seshan,,,,UK-SBU5-PHARMA-GAGAN,166,SBU-Seshan,1110,,,,,
Life Sciences-UK,95,10||95||166||1111,,,UK,10,,,UK|Life Sciences-UK|UK-SBU5-PHARMA-GAGAN|SBU-Murugan,,,,UK-SBU5-PHARMA-GAGAN,166,SBU-Murugan,1111,,,,,
Life Sciences-UK,95,10||95||283||1112,,,UK,10,,,UK|Life Sciences-UK|UK-SBU4-PHARMA-SRINI|OTHER TAIL ACCOUNTS,,,,UK-SBU4-PHARMA-SRINI,283,OTHER TAIL ACCOUNTS,1112,,,,,
MLEU-UK,99,10||99||317||470,,,UK,10,,,UK|MLEU-UK|EU Utilities|ENERGY,,,,EU Utilities,317,ENERGY,470,,,,,
MLEU-UK,99,10||99||317||471,,,UK,10,,,UK|MLEU-UK|EU Utilities|UTILITIES,,,,EU Utilities,317,UTILITIES,471,,,,,
Benelux,117,3||117||296||1133,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|BFS,,,,BELGIUM,296,BFS,1133,,,,,
Benelux,117,3||117||296||1136,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|INS,,,,BELGIUM,296,INS,1136,,,,,
Benelux,117,3||117||296||424,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|BELGIUM,,,,BELGIUM,296,BELGIUM,424,,,,,
Benelux,117,3||117||296||549,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Direct,,,,BELGIUM,296,Direct,549,,,,,
Benelux,117,3||117||296||552,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Rabo & Insurance,,,,BELGIUM,296,Rabo & Insurance,552,,,,,
Benelux,117,3||117||296||553,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|RCG,,,,BELGIUM,296,RCG,553,,,,,
Benelux,117,3||117||296||555,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Rest of BFS,,,,BELGIUM,296,Rest of BFS,555,,,,,
Benelux,117,3||117||296||569,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Geert,,,,BELGIUM,296,Geert,569,,,,,
Benelux,117,3||117||296||624,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Rob,,,,BELGIUM,296,Rob,624,,,,,
Benelux,117,3||117||296||625,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Life Sciences,,,,BELGIUM,296,Life Sciences,625,,,,,
Benelux,117,3||117||296||626,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|MLEU,,,,BELGIUM,296,MLEU,626,,,,,
Benelux,117,3||117||296||627,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Comms,,,,BELGIUM,296,Comms,627,,,,,
Benelux,117,3||117||296||628,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|Rest,,,,BELGIUM,296,Rest,628,,,,,
Benelux,117,3||117||296||690,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|BELGIUM|RCG Europe,,,,BELGIUM,296,RCG Europe,690,,,,,
Benelux,117,3||117||297||1135,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|BFS,,,,NETHERLANDS,297,BFS,1135,,,,,
Benelux,117,3||117||297||1137,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|INS,,,,NETHERLANDS,297,INS,1137,,,,,
Benelux,117,3||117||297||425,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|NETHERLANDS,,,,NETHERLANDS,297,NETHERLANDS,425,,,,,
Benelux,117,3||117||297||550,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|Direct,,,,NETHERLANDS,297,Direct,550,,,,,
Benelux,117,3||117||297||551,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|Rabo & Insurance,,,,NETHERLANDS,297,Rabo & Insurance,551,,,,,
Benelux,117,3||117||297||554,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|RCG,,,,NETHERLANDS,297,RCG,554,,,,,
Benelux,117,3||117||297||556,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|Rest of BFS,,,,NETHERLANDS,297,Rest of BFS,556,,,,,
Benelux,117,3||117||297||629,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|Rob,,,,NETHERLANDS,297,Rob,629,,,,,
Benelux,117,3||117||297||630,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|Life Sciences,,,,NETHERLANDS,297,Life Sciences,630,,,,,
Benelux,117,3||117||297||631,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|MLEU,,,,NETHERLANDS,297,MLEU,631,,,,,
Benelux,117,3||117||297||632,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|Comms,,,,NETHERLANDS,297,Comms,632,,,,,
Benelux,117,3||117||297||633,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|Rest,,,,NETHERLANDS,297,Rest,633,,,,,
Benelux,117,3||117||297||691,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|NETHERLANDS|RCG Europe,,,,NETHERLANDS,297,RCG Europe,691,,,,,
Benelux,117,3||117||298||1134,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|LUXEMBOURG|BFS,,,,LUXEMBOURG,298,BFS,1134,,,,,
Benelux,117,3||117||298||426,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|LUXEMBOURG|LUXEMBOURG,,,,LUXEMBOURG,298,LUXEMBOURG,426,,,,,
Benelux,117,3||117||298||557,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|LUXEMBOURG|Rest of BFS,,,,LUXEMBOURG,298,Rest of BFS,557,,,,,
Benelux,117,3||117||472||1058,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|GOVT,,,,Mirabeau,472,GOVT,1058,,,,,
Benelux,117,3||117||472||1059,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|TECH,,,,Mirabeau,472,TECH,1059,,,,,
Benelux,117,3||117||472||1060,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|IME,,,,Mirabeau,472,IME,1060,,,,,
Benelux,117,3||117||472||1061,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|MLEU,,,,Mirabeau,472,MLEU,1061,,,,,
Benelux,117,3||117||472||1062,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|Healthcare,,,,Mirabeau,472,Healthcare,1062,,,,,
Benelux,117,3||117||472||1063,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|Diversified,,,,Mirabeau,472,Diversified,1063,,,,,
Benelux,117,3||117||472||980,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|T&H,,,,Mirabeau,472,T&H,980,,,,,
Benelux,117,3||117||472||981,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|BFS,,,,Mirabeau,472,BFS,981,,,,,
Benelux,117,3||117||472||982,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|LS,,,,Mirabeau,472,LS,982,,,,,
Benelux,117,3||117||472||983,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|RCG,,,,Mirabeau,472,RCG,983,,,,,
Benelux,117,3||117||472||984,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Benelux|Mirabeau|INS,,,,Mirabeau,472,INS,984,,,,,
Switzerland,119,3||119||299||427,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Switzerland|SWISS|SWISS,,,,SWISS,299,SWISS,427,,,,,
Switzerland,119,3||119||299||703,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Switzerland|SWISS|RCG Europe,,,,SWISS,299,RCG Europe,703,,,,,
Switzerland,119,3||119||300||433,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Switzerland|CS SWISS|CS SWISS,,,,CS SWISS,300,CS SWISS,433,,,,,
Switzerland,119,3||119||301||434,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Switzerland|UBS-CE|UBS-CE,,,,UBS-CE,301,UBS-CE,434,,,,,
Switzerland,119,3||119||302||435,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Switzerland|C1 OP CO CHANNEL|EPS,,,,C1 OP CO CHANNEL,302,EPS,435,,,,,
Switzerland,119,3||119||302||702,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Switzerland|C1 OP CO CHANNEL|RCG Europe,,,,C1 OP CO CHANNEL,302,RCG Europe,702,,,,,
Germany,121,3||121||303||436,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|DIRECT BUSINESS|Products & Resources group,,,,DIRECT BUSINESS,303,Products & Resources group,436,,,,,
Germany,121,3||121||303||437,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|DIRECT BUSINESS|CIMET,,,,DIRECT BUSINESS,303,CIMET,437,,,,,
Germany,121,3||121||303||438,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|DIRECT BUSINESS|Life Sciences,,,,DIRECT BUSINESS,303,Life Sciences,438,,,,,
Germany,121,3||121||303||439,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|DIRECT BUSINESS|BFSI,,,,DIRECT BUSINESS,303,BFSI,439,,,,,
Germany,121,3||121||303||695,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|DIRECT BUSINESS|RCG Europe,,,,DIRECT BUSINESS,303,RCG Europe,695,,,,,
Germany,121,3||121||304||440,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|T SYSTEMS PARTNERSHIP|Products & Resources group,,,,T SYSTEMS PARTNERSHIP,304,Products & Resources group,440,,,,,
Germany,121,3||121||304||441,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|T SYSTEMS PARTNERSHIP|CIMET,,,,T SYSTEMS PARTNERSHIP,304,CIMET,441,,,,,
Germany,121,3||121||304||442,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|T SYSTEMS PARTNERSHIP|Life Sciences,,,,T SYSTEMS PARTNERSHIP,304,Life Sciences,442,,,,,
Germany,121,3||121||304||443,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|T SYSTEMS PARTNERSHIP|BFSI,,,,T SYSTEMS PARTNERSHIP,304,BFSI,443,,,,,
Germany,121,3||121||304||696,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|T SYSTEMS PARTNERSHIP|RCG Europe,,,,T SYSTEMS PARTNERSHIP,304,RCG Europe,696,,,,,
Germany,121,3||121||305||452,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|C1 OP CO CHANNEL|C1 GROUP,,,,C1 OP CO CHANNEL,305,C1 GROUP,452,,,,,
Germany,121,3||121||305||453,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|C1 OP CO CHANNEL|C1 SETCON,,,,C1 OP CO CHANNEL,305,C1 SETCON,453,,,,,
Germany,121,3||121||305||454,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|C1 OP CO CHANNEL|C1 SOLUTIONS,,,,C1 OP CO CHANNEL,305,C1 SOLUTIONS,454,,,,,
Germany,121,3||121||305||455,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|C1 OP CO CHANNEL|PSC,,,,C1 OP CO CHANNEL,305,PSC,455,,,,,
Germany,121,3||121||305||456,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|C1 OP CO CHANNEL|BTCONSULT,,,,C1 OP CO CHANNEL,305,BTCONSULT,456,,,,,
Germany,121,3||121||305||694,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|C1 OP CO CHANNEL|RCG Europe,,,,C1 OP CO CHANNEL,305,RCG Europe,694,,,,,
Germany,121,3||121||460||1056,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|KIS|KIS Informatik AG,,,,KIS,460,KIS Informatik AG,1056,,,,,
Germany,121,3||121||460||1057,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|KIS|KIS IS UK Limited,,,,KIS,460,KIS IS UK Limited,1057,,,,,
Germany,121,3||121||460||925,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|KIS|KIS FR,,,,KIS,460,KIS FR,925,,,,,
Germany,121,3||121||460||926,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|KIS|KIS UK,,,,KIS,460,KIS UK,926,,,,,
Germany,121,3||121||460||927,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|KIS|KIS CH,,,,KIS,460,KIS CH,927,,,,,
Germany,121,3||121||460||928,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|KIS|KIS DE,,,,KIS,460,KIS DE,928,,,,,
Germany,121,3||121||503||1041,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|P&R|Focus,,,,P&R,503,Focus,1041,,,,,
Germany,121,3||121||503||1042,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|P&R|C1 Long Tail,,,,P&R,503,C1 Long Tail,1042,,,,,
Germany,121,3||121||503||1043,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|P&R|Organic Long Tail,,,,P&R,503,Organic Long Tail,1043,,,,,
Germany,121,3||121||504||1044,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|CMT|Focus,,,,CMT,504,Focus,1044,,,,,
Germany,121,3||121||504||1045,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|CMT|C1 Long Tail,,,,CMT,504,C1 Long Tail,1045,,,,,
Germany,121,3||121||504||1046,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|CMT|Organic Long Tail,,,,CMT,504,Organic Long Tail,1046,,,,,
Germany,121,3||121||505||1047,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|Life Sciences|Focus,,,,Life Sciences,505,Focus,1047,,,,,
Germany,121,3||121||505||1048,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|Life Sciences|C1 Long Tail,,,,Life Sciences,505,C1 Long Tail,1048,,,,,
Germany,121,3||121||505||1049,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|Life Sciences|Organic Long Tail,,,,Life Sciences,505,Organic Long Tail,1049,,,,,
Germany,121,3||121||506||1050,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|BFS|Focus,,,,BFS,506,Focus,1050,,,,,
Germany,121,3||121||506||1051,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|BFS|C1 Long Tail,,,,BFS,506,C1 Long Tail,1051,,,,,
Germany,121,3||121||506||1052,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|BFS|Organic Long Tail,,,,BFS,506,Organic Long Tail,1052,,,,,
Germany,121,3||121||507||1053,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|Insurance|Focus,,,,Insurance,507,Focus,1053,,,,,
Germany,121,3||121||507||1054,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|Insurance|C1 Long Tail,,,,Insurance,507,C1 Long Tail,1054,,,,,
Germany,121,3||121||507||1055,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|Germany|Insurance|Organic Long Tail,,,,Insurance,507,Organic Long Tail,1055,,,,,
France,123,3||123||306||444,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|FRANCE|FRANCE,,,,FRANCE,306,FRANCE,444,,,,,
France,123,3||123||306||639,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|FRANCE|BFSI,,,,FRANCE,306,BFSI,639,,,,,
France,123,3||123||306||640,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|FRANCE|P&R,,,,FRANCE,306,P&R,640,,,,,
France,123,3||123||306||641,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|FRANCE|LS,,,,FRANCE,306,LS,641,,,,,
France,123,3||123||306||642,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|FRANCE|COMTECH,,,,FRANCE,306,COMTECH,642,,,,,
France,123,3||123||306||643,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|FRANCE|Rest,,,,FRANCE,306,Rest,643,,,,,
France,123,3||123||306||692,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|FRANCE|RCG Europe,,,,FRANCE,306,RCG Europe,692,,,,,
France,123,3||123||349||1038,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|BFSI,,,,CBC France,349,BFSI,1038,,,,,
France,123,3||123||349||1039,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|P&R,,,,CBC France,349,P&R,1039,,,,,
France,123,3||123||349||1040,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|LS,,,,CBC France,349,LS,1040,,,,,
France,123,3||123||349||1069,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|CBC France CMK,,,,CBC France,349,CBC France CMK,1069,,,,,
France,123,3||123||349||1070,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|CBC France FRM,,,,CBC France,349,CBC France FRM,1070,,,,,
France,123,3||123||349||1071,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|CBC France Retail Banking,,,,CBC France,349,CBC France Retail Banking,1071,,,,,
France,123,3||123||349||1072,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|CBC France S&T,,,,CBC France,349,CBC France S&T,1072,,,,,
France,123,3||123||349||1073,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|CBC France INS,,,,CBC France,349,CBC France INS,1073,,,,,
France,123,3||123||349||1074,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|CBC France LS,,,,CBC France,349,CBC France LS,1074,,,,,
France,123,3||123||349||1075,,,CONTINENTAL EUROPE,3,,,CONTINENTAL EUROPE|France|CBC France|CBC France MAREX,,,,CBC France,349,CBC France MAREX,1075,,,,,
